"00:00:00","00:10:00","00:20:00","00:30:00","00:40:00","00:50:00","01:00:00","01:10:00","01:20:00","01:30:00","01:40:00","01:50:00","02:00:00","02:10:00","02:20:00","02:30:00","02:40:00","02:50:00","03:00:00","03:10:00","03:20:00","03:30:00","03:40:00","03:50:00","04:00:00","04:10:00","04:20:00","04:30:00","04:40:00","04:50:00","05:00:00","05:10:00","05:20:00","05:30:00","05:40:00","05:50:00","06:00:00","06:10:00","06:20:00","06:30:00","06:40:00","06:50:00","07:00:00","07:10:00","07:20:00","07:30:00","07:40:00","07:50:00","08:00:00","08:10:00","08:20:00","08:30:00","08:40:00","08:50:00","09:00:00","09:10:00","09:20:00","09:30:00","09:40:00","09:50:00","10:00:00","10:10:00","10:20:00","10:30:00","10:40:00","10:50:00","11:00:00","11:10:00","11:20:00","11:30:00","11:40:00","11:50:00","12:00:00","12:10:00","12:20:00","12:30:00","12:40:00","12:50:00","13:00:00","13:10:00","13:20:00","13:30:00","13:40:00","13:50:00","14:00:00","14:10:00","14:20:00","14:30:00","14:40:00","14:50:00","15:00:00","15:10:00","15:20:00","15:30:00","15:40:00","15:50:00","16:00:00","16:10:00","16:20:00","16:30:00","16:40:00","16:50:00","17:00:00","17:10:00","17:20:00","17:30:00","17:40:00","17:50:00","18:00:00","18:10:00","18:20:00","18:30:00","18:40:00","18:50:00","19:00:00","19:10:00","19:20:00","19:30:00","19:40:00","19:50:00","20:00:00","20:10:00","20:20:00","20:30:00","20:40:00","20:50:00","21:00:00","21:10:00","21:20:00","21:30:00","21:40:00","21:50:00","22:00:00","22:10:00","22:20:00","22:30:00","22:40:00","22:50:00","23:00:00","23:10:00","23:20:00","23:30:00","23:40:00","23:50:00"
25.987,25.98,26.05,25.943,25.794,25.616,25.399,25.144,24.942,24.388,24.149,23.984,23.66,23.287,23.025,22.718,22.432,22.162,21.866,21.563,21.389,21.142,20.905,20.598,20.481,20.319,20.148,20.062,19.924,19.859,19.71,19.703,19.652,19.595,19.546,19.436,19.485,19.559,19.44,19.396,19.413,19.337,19.4,19.503,19.504,19.509,19.528,19.55,19.6,19.979,19.795,19.424,19.256,19.076,18.931,19.199,19.247,19.387,19.557,19.683,19.989,20.524,20.684,20.889,21.085,21.289,21.506,22.039,22.127,22.213,22.361,22.505,22.551,22.617,22.783,22.846,23.029,23.13,23.242,23.358,23.431,23.611,23.708,23.997,24.046,23.982,23.957,23.949,23.759,23.542,23.51,23.103,22.878,22.672,22.572,22.512,22.577,22.2,22.217,22.312,22.38,22.491,22.558,22.461,22.587,22.784,23.202,23.721,24.34,25.401,26.097,26.61,26.925,27.166,27.305,27.39,27.531,27.512,27.687,27.8,27.884,28.011,28.364,28.442,28.578,28.745,28.832,28.964,29.066,28.917,28.896,28.891,28.753,29.179,29.191,28.956,28.789,28.604,28.222,27.769,27.54,27.093,26.663,26.148
25.501,25.022,24.604,24.265,23.779,23.277,22.778,22.222,21.846,21.532,21.264,20.948,20.681,20.386,20.211,19.954,19.732,19.61,19.564,19.369,19.169,19.057,18.983,18.861,18.857,18.798,18.767,18.738,18.653,18.69,18.738,19.034,19.144,19.182,19.351,19.524,19.764,20.436,20.585,20.806,20.931,21.263,21.747,22.755,22.994,23.559,23.774,24.078,24.609,26.024,26.298,26.327,26.577,26.514,26.731,28.208,28.672,28.832,29.439,29.754,29.923,30.678,30.952,31.024,31.129,31.118,31.187,31.476,31.47,31.525,31.367,31.194,30.984,30.997,30.943,30.952,30.93,30.881,30.883,31.096,31.186,31.258,31.031,31.018,30.818,30.343,30.13,30.085,30.048,29.834,29.674,29.35,29.243,29.245,29.195,29.266,29.204,28.976,28.899,29.014,29.094,29.104,29.125,29.218,29.345,29.497,29.881,30.424,30.944,31.768,32.346,32.581,32.835,32.955,32.919,32.921,32.997,32.915,32.902,33.087,32.976,32.96,33.073,32.976,33.257,33.132,32.996,33.257,33.1,33.016,32.722,32.56,32.412,32.554,32.423,32.132,31.914,31.38,31.135,30.764,30.523,30.115,29.519,29.277
28.62,27.98,27.642,27.049,26.663,26.179,25.725,25.26,24.858,24.362,23.956,23.752,23.287,22.873,22.565,22.419,22.113,21.858,21.628,21.4,21.321,21.264,20.907,20.869,20.887,20.819,20.741,20.418,20.494,20.421,20.287,20.521,20.646,20.616,20.753,20.619,20.749,20.939,20.792,20.887,21.11,21.126,21.435,21.755,21.821,21.996,22.221,22.383,22.795,23.503,23.451,23.585,23.774,23.844,24.128,25.131,25.607,25.813,26.49,27.052,27.708,28.703,29.029,29.382,29.574,29.786,29.815,30.22,30.467,30.57,30.378,30.527,30.254,30.288,30.287,30.42,30.32,30.448,30.347,30.34,30.642,30.645,30.666,30.629,30.504,30.233,30.145,29.908,29.844,29.632,29.241,29.071,28.958,28.745,28.616,28.499,28.279,27.958,27.948,27.948,27.919,27.971,27.926,27.891,28.195,28.376,28.614,29.154,29.349,30.428,31.18,31.421,31.488,31.801,31.866,31.765,31.672,31.582,31.971,32.107,32.162,32.36,32.323,32.44,32.419,32.348,32.352,32.461,32.435,32.296,31.996,31.878,31.692,31.799,31.764,31.645,31.288,31.026,30.676,30.4,30.192,29.745,29.205,28.815
28.409,27.768,27.514,26.898,26.284,26.021,25.4,24.873,24.531,23.824,23.825,23.288,22.997,22.481,21.947,21.548,21.438,21.189,20.927,20.809,20.44,20.303,20.408,20.297,20.113,20.002,19.869,19.702,19.745,19.612,19.738,19.887,19.85,19.694,19.892,19.832,19.961,20.048,19.877,19.994,19.927,20.09,20.128,20.249,20.282,20.426,20.53,20.596,20.637,21.23,21.146,21.023,20.819,20.868,21.001,21.553,21.976,21.998,22.535,23.083,23.554,24.223,24.481,24.895,25.288,25.561,25.698,25.942,26.332,26.522,26.539,26.669,26.649,26.59,26.727,26.658,26.684,26.845,26.763,26.915,27.006,27.299,27.601,27.578,27.484,27.528,27.376,27.377,27.133,26.818,26.769,26.267,26.209,26.235,26.021,26.019,25.839,25.633,25.601,25.4,25.625,25.417,25.516,25.488,25.696,25.961,26.129,26.784,27.531,28.514,28.874,29.559,29.931,30.045,30.345,30.401,30.566,30.61,30.647,30.85,30.762,30.991,31.256,31.412,31.444,31.49,31.753,32.153,32.22,32.035,32.04,31.888,31.8,32.068,31.912,31.778,31.273,31.024,30.703,30.482,30.161,29.576,29.108,28.627
27.65,27.226,26.933,26.262,25.94,25.221,24.821,24.249,23.865,23.418,23.156,22.66,22.372,22.026,21.729,21.801,21.447,21.234,21.122,21.086,20.94,20.743,20.473,20.426,20.419,20.441,20.36,20.356,20.347,20.297,20.4,20.585,20.685,20.745,20.825,20.879,21.001,21.751,22.026,22.04,22.468,22.763,23.505,24.242,24.582,25.021,25.423,26.062,26.537,27.923,28.347,28.215,28.585,29.009,29.391,30.561,30.803,31.433,31.604,31.951,32.076,32.995,33.17,33.31,33.285,33.252,33.374,33.593,33.494,33.4,33.221,33.394,33.051,32.801,32.808,32.648,32.596,32.686,32.675,32.674,32.723,32.714,32.611,32.653,32.409,32.106,31.813,31.696,31.521,31.282,31.064,30.748,30.64,30.461,30.645,30.778,30.735,30.34,30.31,30.424,30.592,30.574,30.648,30.545,30.624,30.743,30.842,31.144,31.663,32.26,32.619,32.927,33.066,33.006,32.86,32.746,32.622,32.527,32.519,32.505,32.431,32.407,32.509,32.573,32.342,32.544,32.573,33.061,32.895,32.866,32.748,32.635,32.574,32.712,32.649,32.579,32.425,32.184,32.104,31.437,31.437,31.301,31.301,30.532
30.532,29.074,28.981,28.654,28.654,28.654,27.237,26.414,25.975,25.318,24.921,24.532,23.727,23.588,23.181,22.715,22.649,22.28,22.082,21.77,21.737,21.404,21.462,21.195,21.215,20.964,20.951,20.945,20.842,20.936,20.646,20.685,20.592,20.637,20.718,20.579,20.638,20.85,20.983,21.177,20.974,21.162,21.155,21.275,21.379,21.48,21.514,21.75,21.89,22.351,22.149,22.147,22.266,22.046,22.075,22.866,23.226,23.408,23.973,24.134,24.304,25.336,25.467,25.823,25.907,26.194,26.136,26.558,26.743,26.849,26.884,27.046,26.993,26.762,26.816,26.671,26.765,26.859,26.744,27.023,27.176,27.193,27.25,27.272,27.341,27.176,27.023,26.867,26.777,26.562,26.251,25.878,25.796,25.514,25.628,25.569,25.545,25.245,25.329,25.364,25.396,25.536,25.532,25.533,25.696,26.015,26.417,26.716,27.237,28.293,28.732,29.285,29.696,29.995,30.014,30.259,30.377,30.531,30.783,30.975,31.191,31.435,31.598,31.748,31.946,31.97,32.394,32.74,33.006,32.816,32.882,32.55,32.657,33.019,33.099,32.904,32.405,32.178,31.94,31.305,31.174,30.758,30.071,29.422
28.813,28.06,27.353,26.76,25.873,25.591,24.896,24.442,24.292,23.667,23.363,23.054,22.638,22.3,22.345,22.033,21.705,21.451,21.356,21.515,21.475,21.157,21.256,21.008,20.982,21.128,21.073,21.166,21.243,21.141,21.239,21.583,21.757,21.79,21.965,21.923,22.598,23.307,24.036,24.516,24.936,25.615,26.467,27.53,28.413,29.214,29.957,30.914,31.997,33.976,34.498,34.677,35.031,35.108,35.265,36.225,36.609,37.074,37.444,37.448,37.371,38.13,38.427,38.416,38.462,38.463,38.449,38.913,39.035,38.897,38.686,38.818,38.599,38.44,38.23,38.37,38.279,38.247,38.249,38.32,38.46,38.258,37.684,37.581,37.169,36.725,36.531,36.53,36.507,36.558,36.172,36.037,35.981,36.382,36.526,36.704,36.674,36.375,36.614,36.871,37.165,37.125,37.089,37.619,37.879,38.258,38.556,38.897,39.213,40.07,40.695,41.026,41.449,41.597,41.701,41.658,41.912,41.81,41.773,41.771,41.604,41.432,41.447,41.265,41.169,41.137,41.111,41.325,41.061,40.614,40.086,39.67,39.175,39.106,38.764,38.164,37.643,36.978,36.244,35.763,35.346,34.517,33.93,33.348
32.494,31.952,31.778,30.577,29.919,28.871,28.191,27.546,27.272,27.196,26.84,26.25,25.886,25.589,25.544,25.359,25.172,25.011,24.72,24.673,24.621,24.559,24.324,24.333,24.131,24.482,24.063,24.002,24.338,24.194,24.342,24.61,24.611,24.894,24.79,25.002,25.216,26.198,26.83,27.197,27.69,28.384,29.314,30.703,31.65,32.538,33.563,34.544,35.316,37.514,38.609,38.586,38.928,38.653,38.101,40.654,39.416,40.119,40.295,40.429,40.72,41.345,41.344,41.282,41.667,41.544,41.533,41.747,41.867,41.738,41.594,41.768,41.498,41.403,41.255,41.322,41.301,41.472,41.572,41.515,41.557,41.383,41.252,40.879,40.262,39.618,39.561,39.748,39.676,39.75,39.549,39.546,39.741,39.576,39.607,39.969,40.056,39.832,39.94,39.886,40.234,40.337,40.414,40.711,41.047,41.357,41.599,42.003,42.386,43.018,43.512,43.858,44.182,44.364,44.336,44.14,44.026,43.849,43.927,44.04,43.925,43.82,43.498,43.445,43.284,43.169,43.046,43.254,42.985,42.598,42.069,41.273,40.836,40.708,40.548,40.232,39.787,38.7,38.134,37.522,36.856,36.26,35.736,34.844
34.053,33.257,32.66,31.974,31.13,30.363,29.838,29.167,28.915,28.383,28.294,27.938,27.345,27.092,26.836,26.687,26.566,26.428,26.108,26.018,26.012,26.054,25.825,25.756,25.762,25.639,25.782,25.635,25.512,25.613,25.583,25.848,26.116,25.827,26.376,26.235,26.755,27.448,27.926,28.256,29.033,29.72,30.691,31.543,33.206,33.897,35.195,36.091,36.54,38.638,39.322,39.667,39.763,39.651,39.519,40.33,40.707,40.794,41.085,41.394,41.353,42.2,42.197,42.248,42.544,42.569,42.48,42.602,42.555,42.349,42.581,42.317,42.173,41.942,41.806,41.58,41.756,41.708,41.653,41.507,41.484,41.434,40.85,40.805,40.193,39.365,39.357,39.395,39.373,38.915,38.892,38.679,38.553,38.747,38.776,38.865,38.913,38.615,38.534,38.461,38.378,38.66,38.715,38.567,38.943,39.208,39.826,39.944,40.406,41.061,41.459,42.085,42.46,42.769,42.805,42.702,42.69,42.597,42.392,42.274,42.284,42.096,42.007,41.788,41.599,41.518,41.616,41.76,41.472,41.16,40.61,40.14,39.958,39.939,39.788,39.422,38.878,38.333,37.944,37.551,37.269,36.262,35.98,35.238
34.633,34.077,33.438,32.932,32.421,32.17,31.262,30.614,30.253,29.641,29.197,28.584,27.915,27.381,27.308,26.915,26.811,26.592,25.922,25.689,25.739,25.683,25.703,25.454,25.319,25.143,25.153,24.921,25.001,24.999,24.921,24.749,24.837,24.847,24.907,24.598,24.601,24.873,24.884,25.082,25.316,25.305,25.195,25.718,26.133,26.069,26.518,26.562,26.938,27.761,28.179,28.388,28.567,28.553,28.888,29.726,30.719,31.016,31.444,32.355,32.679,33.722,34.575,34.537,35.031,35.315,35.327,35.426,35.775,35.664,35.558,35.724,35.679,35.275,34.978,35.137,34.992,35.091,34.894,34.8,35.045,34.897,34.847,34.665,34.824,34.463,34.6,34.291,33.943,33.805,33.497,33.207,33.083,33.073,33.074,33.004,32.913,32.683,32.531,32.315,32.68,32.687,32.713,32.495,32.519,32.696,32.82,33.281,34.015,34.926,35.63,36.057,36.637,36.924,37.183,37.237,37.162,37.128,37.286,37.413,37.601,37.582,37.844,37.857,37.923,38.083,38.021,37.937,38.101,37.824,37.677,37.524,37.19,37.403,37.47,37.245,36.993,36.376,36.308,36.068,35.473,34.953,34.818,34.36
